#ASVID	4.5_0	4.5_4	4.5_5	4.5_6	4.5_7	4.5_8	4.5_9	4.5_10	4.5_11	4.5_12	4.5_13	4.5_14	4.5_0.1	4.5_0.2	4.5_0.3	7.5_0	7.5_4	7.5_5	7.5_6	7.5_7	7.5_8	7.5_9	7.5_10	7.5_11	7.5_12	7.5_13	7.5_14	7.5_0.1	7.5_0.2	7.5_0.3	CM_0	CM_5	CM_6	CM_7	CM_8	CM_9	CM_10	CM_11	CM_0.1	CM_0.2	CM_0.3	LD_0	LD_4	LD_5	LD_6	LD_7	LD_8	LD_9	LD_10	LD_11	LD_12	LD_13	LD_0.1	LD_0.2	LD_0.3
ASV1	176	0	0	0	0	0	0	80	594	1205	1277	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1049	19	18	23	81	725	1276	3803	4554	4855	6199	1834	5	0	0	0	17	115	1241	4147	6978	11001	2582	3312	3311
ASV2	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4562	970	3429	11271	8632	4928	4177	4947	1189	1431	1838	132	0	0	0	0	122	90	72	87	49	89	38	0	0
ASV3	356	0	0	0	0	0	0	49	227	638	2511	7843	490	792	888	633	5	0	0	0	0	0	49	618	1748	5981	8833	718	596	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1337	0	0	0	0	0	50	706	2591	5272	8751	2311	1879	2343
ASV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564	0	0	0	0	0	0	86	909	1950	5140	7769	2754	2230	2860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV6	368	0	0	0	0	24	48	117	1259	3284	2868	824	45	22	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	805	0	0	0	0	0	0	407	1525	3104	5177	1102	1060	1321
ASV7	700	667	604	716	590	342	159	151	383	295	220	280	565	695	833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1105	5344	1687	581	226	344	261	477	1166	1320	1896	0	0	37	0	0	0	0	0	0	0	0	0	0	0
ASV8	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	68	26	0	0	87	91	59	0	0	31	0	16	67	66	73	862	206	436	1244	556	595	388	415	1532	1851	2554	356	72	0	0	301	348	173	140	99	90	146	367	264	490
ASV9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	11	44	448	1160	2962	4994	1377	1059	1352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10	1384	171	60	587	1411	1828	1159	885	988	910	643	800	837	840	891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV11	724	965	790	821	526	361	176	179	262	278	255	331	638	728	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	1301	548	187	109	102	84	146	485	569	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV12	154	0	0	0	0	0	0	124	882	2392	2756	1686	138	177	285	88	0	0	0	0	0	0	51	430	887	1346	883	0	83	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	30	0	0	0
ASV13	365	1089	433	271	173	106	91	86	101	136	90	80	265	297	329	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	460	1536	614	140	69	115	109	182	323	478	591	207	1099	719	203	74	19	0	29	31	26	38	66	71	119
ASV14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	2605	847	238	112	158	132	238	1411	1489	1904	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV15	48	364	136	0	0	0	0	0	0	0	32	0	0	0	0	543	1556	859	564	264	245	170	192	115	85	105	152	529	525	585	0	0	0	0	0	0	0	0	0	0	0	188	1055	755	152	61	0	0	0	68	0	23	69	73	113
ASV16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	50	109	99	0	0	0	0	0	0	15	20	38	0	0	70	380	110	62	30	44	20	28	19	36	40	496	835	3189	675	247	178	121	147	223	170	182	403	482	550
ASV17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010	17	36	127	441	2546	2511	1711	156	104	140	0	0	0	0	0	0	0	43	27	0	0	0	0	0
ASV18	107	0	0	0	0	0	28	98	564	1553	1885	1457	108	118	213	60	0	0	0	0	0	0	0	254	562	881	569	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	38	227	0	0	0	429	0	0	0	0	0	7	165	1263	3672	2310	45	33	36
ASV20	128	0	0	0	0	0	0	32	267	1618	3340	2035	98	109	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV21	295	850	260	293	121	110	61	67	106	93	57	106	106	85	156	360	1003	600	420	185	205	143	114	122	93	105	99	513	429	431	0	0	0	0	0	0	0	0	0	0	0	0	31	52	0	0	0	0	0	0	0	0	0	0	0
ASV22	678	117	45	269	960	648	249	210	275	158	123	135	1109	1206	1373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	51	0	194	343	300	227	162	152	109	91	166	252	203	252	138	104	116	79	104	75	0	111	0	115	122	412	166	282	508	394	349	269	179	171	131	190	200	244	238
ASV24	122	0	0	0	71	259	82	58	54	60	26	6	73	84	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	313	571	667	277	308	200	274	165	210	249	391	0	31	64	454	418	158	134	71	48	52	339	162	318
ASV25	770	136	140	500	585	655	431	330	379	412	291	322	739	834	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	113	411	1529	1559	839	566	853	132	299	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV27	110	0	0	0	0	0	34	157	1060	1686	1071	458	157	185	385	40	0	0	0	0	0	0	48	334	502	429	244	47	39	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV28	445	108	89	202	344	551	311	195	311	223	142	244	232	294	365	397	68	119	289	413	234	98	90	107	79	68	70	260	259	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV29	254	0	0	116	235	308	205	150	159	132	115	121	81	108	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	169	394	448	189	186	139	165	140	116	200	413	29	38	52	267	239	135	219	202	122	176	96	108	140
ASV30	15	0	0	0	0	0	16	44	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	14	18	117	420	748	461	288	651	980	1026	90	4	0	0	0	0	119	181	85	42	55	241	323	386
ASV31	60	0	0	0	0	0	0	0	69	95	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	125	472	954	1253	782	944	1046
ASV32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	742	666	1031	838	323	346	227	418	382	439	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	10	0	0	0	340	10	0	0	0	6	94	1821	2177	543	390	106	77	135
ASV34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0	63	218	1111	1806	1499	105	190	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV35	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	202	0	0	0	0	0	15	133	695	1601	1290	399	332	340	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV36	211	0	0	0	0	0	28	192	1740	1759	401	200	268	262	343	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV37	258	908	234	213	157	110	79	67	127	81	86	111	271	240	263	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	13	97	31	0	0	21	0	20	99	45	0	190	599	445	185	76	0	0	47	42	40	40	57	0	54
ASV38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	34	94	441	1068	1241	676	697	109	59	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	32	75	333	405	397	287	325	68	145	150	372	0	0	0	110	258	268	311	184	109	164	402	247	301
ASV40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	88	395	900	598	402	400	356	132	179	182	173	0	0	0	0	252	220	98	134	0	143	0	0	0
ASV41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	301	488	450	231	167	154	214	37	40	65	307	28	49	83	463	301	162	157	178	137	173	168	204	143
ASV42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	2020	378	113	52	67	67	114	347	299	513	61	70	243	0	0	0	0	0	0	0	10	68	63	70
ASV43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	622	1979	392	101	0	0	50	100	113	136	261	411	356
ASV44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	764	31	73	350	964	968	462	456	298	178	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV45	0	0	0	0	0	0	87	207	144	51	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	15	19	20	43	191	512	838	863	285	284	289	220	248
ASV46	158	0	0	0	0	0	0	133	1447	1321	246	148	310	438	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV47	367	0	0	0	70	674	754	497	405	296	198	192	251	325	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	7	9	44	112	758	1722	1438	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	72	142	630	766	550	407	438	274	264	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	753	19	12	13	36	304	864	2332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5
ASV51	377	18	27	147	404	466	295	272	306	336	188	247	371	378	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587	280	744	733	423	341	189	178	178	165	269	39	0	0	0	35	0	0	0	0	0	0	34	22	39
ASV53	55	0	0	0	0	103	49	28	30	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	126	134	456	290	270	142	185	133	157	178	250	28	0	0	126	248	159	112	95	65	80	109	148	108
ASV54	144	0	0	0	0	215	210	129	71	67	30	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	13	38	74	98	36	38	21	29	64	360	51	42	0	183	447	323	324	222	168	199	130	165	180
ASV55	73	0	0	0	0	0	0	0	149	705	1859	1254	34	45	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV56	149	0	0	0	0	0	306	279	183	86	0	0	0	0	0	132	0	0	0	0	0	408	361	140	78	59	68	176	112	165	0	0	0	0	0	0	0	0	0	0	0	195	20	0	0	0	0	226	218	118	85	52	197	190	159
ASV57	271	54	0	86	195	263	122	99	166	135	113	160	713	879	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV58	297	0	0	0	0	78	737	856	416	214	174	132	29	38	60	50	0	0	0	0	0	165	144	68	0	0	40	69	52	68	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	49	137	66	30	0	0	0	56
ASV59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	45	70	152	876	1145	777	183	209	219	0	0	0	0	0	0	0	0	32	0	0	0	0	0
ASV60	231	436	325	155	118	103	59	64	97	77	66	90	589	726	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	94	239	846	629	333	320	368	148	235	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	153	260	328	154	128	92	145	110	82	107	254	9	0	66	383	235	119	80	78	62	50	334	149	329
ASV63	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	35	0	0	0	0	123	44	36	24	21	17	17	44	52	46	364	172	406	465	307	308	238	235	203	156	277	72	0	0	0	0	87	0	53	0	37	22	0	0	0
ASV64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	26	0	52	0	105	103	53	103	0	102	110	0	47	0	0	81	102	79	368	38	45	0	475	256	153	121	186	122	109	274	274	382
ASV65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	151	97	66	57	59	0	73	47	473	15	0	0	177	515	353	272	239	150	190	236	191	303
ASV66	0	192	145	0	0	0	0	0	0	0	0	0	0	0	0	144	330	308	223	120	0	0	0	0	0	0	51	199	160	204	0	0	0	0	0	0	0	0	0	0	0	102	453	592	136	0	0	45	17	0	17	0	84	97	119
ASV67	273	0	0	0	208	415	269	163	180	187	155	125	519	578	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV68	92	0	36	101	131	54	0	65	59	35	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	464	438	236	88	90	88	98	101	174	184	110	0	0	185	130	102	0	0	44	52	0	83	90	101
ASV69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	223	613	625	250	201	180	203	95	84	223	60	0	0	0	105	67	35	26	9	0	0	75	41	74
ASV70	348	144	140	305	323	267	170	138	187	199	201	195	277	328	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	66	68	451	609	607	390	364	166	228	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV72	38	0	0	0	76	0	0	0	0	46	0	25	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	238	591	298	109	163	128	159	230	115	205	79	0	52	174	0	0	0	0	0	0	37	115	81	140
ASV73	75	0	0	0	0	0	0	35	1685	616	163	103	262	259	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	113	291	721	629	373	322	413	45	86	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV75	221	0	0	0	207	277	151	99	174	118	99	112	117	185	186	194	37	0	0	173	159	138	101	104	72	68	62	110	129	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	59	145	293	164	132	107	112	226	203	282	224	0	0	0	198	169	0	113	100	53	97	155	133	212
ASV77	245	366	262	283	182	204	93	94	149	85	87	119	283	346	380	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	87	0	0	0	0	0	0	0	26	39	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ASV78	87	489	200	0	0	0	0	0	46	0	0	0	0	0	0	183	923	379	195	106	0	0	0	0	57	0	38	192	184	187	0	0	0	0	0	0	0	0	0	0	0	0	40	30	0	0	0	0	0	0	0	0	0	0	0
ASV79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	1063	983	113	0	0	0	29	40	34	34	306	144	293
ASV80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	1195	407	193	143	0	0	68	65	60	43	43	306	250	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV81	426	84	55	190	415	203	104	89	138	139	137	0	347	374	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV82	42	0	0	0	0	0	0	31	144	112	24	15	3	3	0	140	0	0	0	0	4	27	106	1286	877	271	97	15	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV83	211	0	0	0	18	334	609	362	230	166	111	102	308	380	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV84	351	41	0	45	221	309	82	65	127	49	40	71	487	524	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	14	0	0	0	149	519	681	452	165	91	133	246	200	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
ASV86	270	1153	254	123	61	43	19	27	48	34	46	53	43	59	64	67	329	146	44	37	0	0	0	14	0	8	9	42	33	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV87	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	1023	861	229	139	32	0	45	0	34	65	143	74	110
ASV88	96	0	0	0	0	0	0	0	123	159	625	2066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	97	398	470	487	272	377	148	206	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	38	75	366	566	421	285	318	136	212	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	49	169	540	649	368	299	0	0	0	64	0	0	0	0	0	102	178	81	34	41	0	0	0
ASV92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	1117	829	73	108	44	0	0	0	0	0	238	101	259
ASV93	118	0	0	0	0	0	0	53	599	1568	411	189	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	47	57	79	646	386	210	179	198	156	226	0	53	0
ASV95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	1166	469	262	120	0	0	43	80	61	38	64	141	117	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	932	925	172	129	93	0	0	40	57	29	84	134	133
ASV97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	161	337	716	1345	79	70	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV98	123	768	234	113	94	91	51	0	63	46	70	31	325	334	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV99	0	0	0	0	0	0	24	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	83	331	606	426	294	236	300	29	48	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV100	288	1303	319	127	90	75	58	56	47	41	35	55	80	117	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV101	231	262	316	227	85	47	29	39	58	61	34	41	403	428	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV102	152	507	169	81	41	39	0	22	32	0	34	16	45	59	69	142	386	320	125	94	0	41	0	0	16	0	12	119	93	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	1175	790	150	49	0	0	25	29	18	19	76	65	108
ASV104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	1474	240	116	59	81	84	113	73	62	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV105	214	84	188	272	91	67	0	0	55	35	53	62	443	464	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV106	144	0	0	0	0	223	407	358	526	216	92	137	141	178	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	33	97	445	417	301	209	263	161	158	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV108	209	308	366	274	81	42	0	0	59	52	33	39	334	357	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV109	151	42	0	121	167	142	131	76	123	66	89	109	458	476	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	19	52	122	230	148	0	87	90	78	62	516	365	540
ASV111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	63	251	234	113	136	97	112	68	89	109	225	0	0	0	0	110	74	77	77	61	73	105	105	132
ASV112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	135	183	422	312	269	141	169	195	115	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV113	33	0	0	0	32	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	51	266	449	298	261	123	159	139	70	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV114	74	878	308	0	38	0	0	31	27	19	32	0	135	132	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	196	0	0	0	0	0	0	0	0	0	0	0
ASV115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	9	29	115	274	685	316	356	78	119	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV116	120	777	358	94	77	36	13	0	45	28	14	14	263	304	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV117	243	598	247	150	67	83	38	28	46	48	54	59	39	54	63	61	205	109	43	0	0	0	21	15	12	0	0	51	49	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
