,4_5_M5,4_5_M11,7_5_M4,7_5_M14,CM_M5,CM_M11,LD_M4,LD_M13
ASV10541,0,0,0,0,69006140,0,0,0
ASV10542,0,0,0,0,0,0,28229436,0
ASV10543,0,0,0,0,13522188,0,0,0
ASV10544,0,0,25344846,0,0,0,0,0
ASV10545,0,0,0,0,0,0,23039415,0
ASV10546,54131570,0,0,0,0,0,0,0
ASV10547,0,0,0,0,12006146,0,0,0
ASV10548,0,0,0,0,0,0,35222852,0
ASV10549,0,0,0,0,0,0,32512015,0
ASV10550,0,0,24745215,0,0,0,0,0
ASV10551,0,0,22331226,0,0,0,0,0
ASV10552,0,0,0,0,0,30963886,0,0
ASV10553,0,0,0,17003044,0,0,0,0
ASV10554,0,0,0,0,0,0,0,16518180
ASV10555,0,0,0,0,0,122747310,0,0
ASV10556,0,0,0,16837065,0,0,0,0
ASV10557,0,0,0,0,0,0,0,18937148
ASV10558,0,0,0,0,0,0,0,12593994
ASV10559,0,0,0,0,0,25496408,0,0
ASV10560,0,8842648,0,0,0,0,0,0
ASV10561,0,52652400,0,0,0,0,0,0
ASV10562,0,16005245,0,0,0,0,0,0
ASV10563,0,0,0,0,0,30556023,0,0
ASV10564,0,0,0,0,15717097,0,0,0
ASV10565,0,0,13117522,0,0,0,0,0
ASV10566,0,0,0,0,26634600,0,0,0
ASV10567,0,0,0,0,23717022,0,0,0
ASV10568,0,0,0,0,28868282,0,0,0
ASV10569,0,0,0,0,50307330,0,0,0
ASV10570,39269686,0,0,0,0,0,0,0
ASV10571,15660116,0,0,0,0,0,0,0
ASV10572,0,0,0,0,50325120,0,0,0
ASV10573,0,0,0,0,23531008,0,0,0
ASV10574,13853377,0,0,0,0,0,0,0
ASV10575,15148686,0,0,0,0,0,0,0
ASV10576,0,0,0,0,34734583,0,0,0
ASV10577,0,0,0,0,35760552,0,0,0
ASV10578,0,0,0,0,13743804,0,0,0
ASV10579,0,0,0,0,0,46824837,0,0
ASV10580,0,0,0,0,267253700,0,0,0
ASV10581,0,0,0,0,0,29991326,0,0
ASV10582,0,0,0,0,0,20196724,0,0
ASV10583,0,0,0,0,0,0,0,26745942
ASV10584,12043177,0,0,0,0,0,0,0
ASV10585,0,0,0,0,0,15197910,0,0
ASV10586,0,0,0,0,0,0,23170987,0
ASV10587,20705463,0,0,0,0,0,0,0
ASV10588,24221793,0,0,0,0,0,0,0
ASV10589,50199540,0,0,0,0,0,0,0
ASV10590,0,0,22433430,0,0,0,0,0
ASV10591,0,0,0,0,0,0,0,20855564
ASV10592,0,0,28135642,0,0,0,0,0
ASV10593,0,0,0,0,0,243500640,0,0
ASV10594,0,0,0,0,0,32819920,0,0
ASV10595,0,0,0,0,0,18306027,0,0
ASV10596,0,0,0,0,12148316,0,0,0
ASV10597,0,8066871,0,0,0,0,0,0
ASV10598,32751894,0,0,0,0,0,0,0
ASV10599,51061743,0,0,0,0,0,0,0
ASV10600,19068961,0,0,0,0,0,0,0
ASV10601,27971232,0,0,0,0,0,0,0
ASV10602,26016867,0,0,0,0,0,0,0
ASV10603,0,0,0,0,29204836,0,0,0
ASV10604,0,0,0,0,55787265,0,0,0
ASV10605,0,0,0,0,94887125,0,0,0
ASV10606,0,0,0,0,13347466,0,0,0
ASV10607,0,0,0,0,124702440,0,0,0
ASV10608,0,0,0,0,70524585,0,0,0
ASV10609,0,13816698,0,0,0,0,0,0
ASV10610,47069630,0,0,0,0,0,0,0
ASV10611,0,0,0,0,26408870,0,0,0
ASV10612,0,0,0,0,0,10898893,0,0
ASV10613,0,0,0,0,14118452,0,0,0
ASV10614,0,0,0,0,14144288,0,0,0
