Class,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
Bdellovibrionia,0,0,0,0,0,0,0,0,0,0,0,0.000260663948314063,0.000104531437829927,7.72066629350113e-05,0.000181917409496089,5.43301097468217e-05,0,0,0,0,0,0,0,0,0,0,0.0019953724341421,0.000962106137799838,0.000139634158504718,0.000231749710312862,0.000229916770129213,0,0,0,0,0,0,4.46727719454992e-05,0,0,5.30100895870514e-05,0,0,0,0,0,0,0,0,0,0,0.00319623971797885,0.00489586571339758,0.00321158450838053,0.00089424752154674
Bdellovibrionota Phylum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563413117811626,0,0
Binatia,0.000605238443076281,0.000809467984145593,0.000674536256323777,0.000745141871090456,0.000156887354879197,0,0.000846596681341009,0.00139261911867104,0.000818951135915557,0,0.000546209307406598,0.000614422163883148,0.000418125751319709,0.000193016657337528,0.00026276959149435,0.00434640877974574,0.00351361525912913,0.00256629597946963,0.00298499974915968,0.00342258908798067,0.00317369753592697,0.00162752848174843,0,0,0.0161290322580645,0.0160733062941265,0.00547666051073043,0.00264579187894956,0.00115696874189623,0.00214368482039397,0.018117441486182,0.00821649592671585,0.00765696784073507,0.00637786390619634,0.00631049997078472,0.0160131247544885,0.0132812778550291,0.00574045119499665,0.00459555243992678,0.00407811862793964,0.00505362854063223,0.00893011365599198,0.0289764718638187,0.0267546157876892,0.0272055879343329,0.0214368360155675,0.0224583821617196,0.0160961892756715,0.0270562262201137,0.0174950113694371,0.0125077874155365,0.0137720329024677,0.00977230338824992,0.00558701683706435,0.00622889652939453
Blastocatellia,0.000459146405092351,0.000976944118796405,0.000794989159238738,0.00150989273878856,0.000313774709758393,0,0,0,0,0,0.00142014419925716,0.00102403693980525,0.000278750500879806,0.000328128317473798,0.000101065227497827,0.0292839291535369,0.0194503701844648,0.0109938852453823,0.0204936537400291,0.00136456166252824,0.000891488071889598,0.00172053010927691,0.0101319947945715,0.0294547070399289,0.169183253260124,0.258675078864353,0.110445986966397,0.0411300373909431,0.020566116774052,0.0235225955967555,0.0051348078662191,0,0,9.81209831722514e-05,0.00130494906803264,0.000693208863830672,0,0.000938128210855484,0.000954161311679713,0.000589061579591282,0.000459420776421112,0.000673644937299202,0.00393039141277242,0.0037912646795919,0.00342572407349735,0.00033659408856632,0.000658179891801647,0,0,0.00612557427258806,0.0192648679733551,0.00954171562867215,0.00689695368355611,0.00281251187716164,0.00259023420034228
Brevinematia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000317187004395306,0.000318060537522308,0,0,0,0,0,0,0,0,0,0,0,0.000116568231271371,0.000114020751776823,6.16722428652924e-05
Brocadiia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111849316600676,0,0,0,0,0,0,6.36820989619818e-05,0,9.97386846462269e-05,0,0,0,0,0,0.000233722221140175,0.000947385447235252,0.000623952650907405,0.000379718561536743,0.000194726798301982,0,0.000159030268761154,0.000518188413307078,0.000677653691857313,0.00073975896187159,0.000533879076389198,0.000504891132849479,0.00067423305989437,0,0,0,0,0.000211515863689777,3.88560770904569e-05,0,0
BSN033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000291227908830337,0,0,0.00034342344110288,0,0,0,0.000446727719454992,0.00190832262335943,0.00131406044678055,0.000724471224356369,0.000535461360417314,0,0,0,0,0,0,0,0,0,0.00336075205640423,0.00149595896798259,0.000418076089848352,0.000123344485730585
CAIYQO01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214245369378494,0,0,0,0,0,0,3.45458942204719e-05,0,0,0,0.000273482696960135,0.000321063361854462,0,0,0,0,0,0.000116568231271371,0,0
CAKKQC01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000225875266658301,0,0.00035117644107761,6.71095899604053e-05,0,0.00051150895140665,0,0,0,0,0,0.00015306234010452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70103758884117e-05,0
Campylobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37320971727199e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
