Class,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
Doudnabacteria,0.000125221746843368,0,0,0,0,0,0,0,0,0,0,0.000148950827608036,0.000470391470234673,0.000694859966415102,0,0,0,0.000158413332066027,0,0,0,0,0,0,0,0,0.000934004118109066,0.00177114993549516,0.000678223055594343,0.000328312089609888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000271992539633199,0.000266048420812588,0.000262107032177493
DSM-12270,0,0,0,0,0,0,0,0,0,0,0,0.00258802062968962,0.00106273628460426,0.000328128317473798,0.000444687000990439,0,0,0,0,0,0,0,0,0,0,0,0.000997686217071048,0.00015306234010452,0.000179529632363208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elusimicrobia,0,0,0,0,0,0,0,0,0,0,0,0.00016756968105904,0,0,0,0.000923611865695969,0.000276069770360146,0,0.000627100787638589,0,0,0,0,0,0.00102951269732327,0.00184016824395373,0.00284446708696852,0.00133382896376796,0.000638327581735852,0.000308999613750483,0.0014408117594764,0.00052445718681165,0,0.000417014178482068,0.00144128703036441,0.00561499179702844,0.00322672656612115,0.00198793835157472,0.00235619425945399,0.0015406225927772,0.00187302316540915,0.00475006045531489,0.00119267049766887,0.00440773048115156,0.00275837522801086,0.00012622278321237,0.000128425344741785,0,0,0,0.00709253845785211,0.00829612220916569,0.00590612371774946,0.00106419368325035,0.00132595322160379
Endomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36820989619818e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000113281072998323,0.000141360238898804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eremiobacteria,0.0298236460398623,0.0609613130128957,0.0612382558419658,0.0534933427456517,0.00421634766237841,0.00717758740449178,0.028502088271814,0.0605789316621904,0.0597531013982832,0.0407130363588999,0.0317529677372369,0.0204807387961049,0.0179097196815276,0.0158080642359436,0.0146544579871849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00203859536181236,0.0027971049963288,0.00509354817231507,0.00235490359613403,0.00260989813606529,0.00228758925064122,0.00142617748778836,0.00129551038641948,0.00054523503524555,0.000158593502197653,0.000724471224356369,0.0013472898745984,0.00420145288951534,0.00268162623678451,0.00395960314988655,0.00191437887872094,0.00269693223957748,0.00295743236691554,0.00197284982854996,0,0,0.000423031727379553,0.000563413117811626,0.000532096841625176,0.000354615396475431
Eremiobacterota Phylum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84180394905947e-05,0.000634374008790611,0.000565440955595215,0.000138183576881888,0,0,0,0,0,0,0,0,0,0,0,0,0
FAC87,0,0,0,0,0,0,0,0,0,0,0,0.000111713120706027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000525762355415352,0.00036086522745123,6.55981457590799e-05,0.000139634158504718,0,0.000107294492726966,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67348845486497e-05,0,0,0,0,0,0,0.000329024676850764,0.000446844886540255,0.000323058796701,0
Fibrobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000162990329240465,0,0,0.000200672252044349,0,0,0,0,0,9.80488283165016e-05,0,0.000233501029527267,6.55981457590799e-05,9.97386846462269e-05,0.000173812282734647,0.000321883478180899,0,0,0,5.84305552850437e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000658049353701528,0,0,7.70903035816155e-05
Fimbriimonadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000488970987721395,0.000401556029614757,0.000348509330545259,0.000250840315055436,8.94794532805405e-05,0,0.000279004882585445,0,0.000761759664825747,0.000735366212373762,0.000413098993540634,0.000275955762168588,8.74641943454398e-05,0.000119686421575472,0.000579374275782155,0.00101163378856854,0.00223768399706304,0.00236367268127039,0.00267379679144385,0.000642736108135481,0.00207962659149202,0.00139052305059365,0.000737100737100737,0.000545235035245551,0.000589061579591282,0.000795151343805771,0.00155456523992124,0,0.000400702771013778,0.000444899230324332,0.000441779741243294,0.000160531680927231,0,0,0,0,0.000446533490011751,0,0.000247044962183117,0.000308361214326462
FW602-bin22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000597631207215039,0.000100389007403689,0.000633653328264107,0,0.00386998635438337,0.00317369753592697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gammaproteobacteria,0.134321193780653,0.124993021827723,0.11433389544688,0.100731415573465,0.0252392532161908,0.0441768927992591,0.159329495428378,0.232766338406446,0.189177712396494,0.147110267574709,0.120457359260068,0.0775661434768847,0.0641823028275754,0.0538516473971704,0.0637317324601298,0.112354666956427,0.080762956456268,0.084402623324779,0.0787889429589124,0.028633425049773,0.0576614484898192,0.117275052313415,0.165458263617773,0.162889608328572,0.110206883027748,0.0586976115367282,0.057228979600501,0.0404740559333522,0.027069079012986,0.0273271533410583,0.0764396621756257,0.0258732212160414,0.0219388774219322,0.0278908894667125,0.0359932220555869,0.0547866072047508,0.0643384319178522,0.105673442037078,0.143611013747712,0.157234129321673,0.140900818122383,0.100632189864235,0.0548086305974195,0.0638042104614246,0.0531654580237576,0.0321868097191543,0.0471802610245132,0.100552700475129,0.10681572643149,0.0553621977817996,0.0709733071356688,0.0754171562867215,0.0570795772458813,0.0385960244764547,0.0303735796111565
GCA-002687715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171139845702488,0.0011293763332915,0,0.00117894948076055,0.000939534259445675,0.00242484755553971,0.00302255289467566,0,0,0,0,0.000169818930565285,0.000284258631622679,0.000219425106221699,0.000366937041328698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonadetes,0.0132943754565376,0.00837380673254061,0.00686581546615273,0.00529442908406377,0.00656965798556636,0.0139384116693679,0.0148436618128457,0.0188998308962499,0.0120719463738664,0.00353540992147669,0.00247614886024325,0.00344448788843583,0.00297914597815293,0.00318477484606922,0.00375962646291917,0.0121156144735412,0.0169406449993726,0.0130849412286538,0.014398234084182,0.00914927409793526,0.0173661876404094,0.0245989304812834,0.017661275329987,0.00374531835205993,0.00112756152563977,0.00168995042812078,0.00295060391857182,0.00255832768460411,0.0019349304821368,0.00274237157203554,0.0108367437654236,0.0154889689171707,0.0136493774552234,0.0173428837756954,0.0555479812243149,0.0139797120872519,0.0030127999429529,0.00174223810587447,0.00196674066285002,0.00167655988037519,0.00265050447935257,0.00969012332884237,0.0117911742383172,0.0101408624356564,0.0111669706811407,0.0255811507310403,0.0452699340214791,0.0274895762629691,0.00728075531964864,0.00329481646480115,0,0.00199764982373678,0.00155424308361828,0.00142525939721029,0.00195809371097303
Gracilibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217320438987287,0.000225875266658301,0.000316826664132053,0.000100336126022174,0.000313178086481892,0.000427914274507007,0,0,0,0,0.00108907916478894,0.00263219342376191,0.000896507992040758,0.00025932058008019,0.000328312089609888,0,0,0,0,0,0,0,0,0,0.000113281072998323,0.000265050447935257,0,0.000243955329068633,0.000770582251949573,0.000622858922454064,0,3.21063361854462e-05,0,0,0,0,0.000822561692126909,0.00064112527199254,0.00127323172817453,0.000339197335759108
GWA2-38-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000388560770904569,0.00102618676599141,0.0028677592932361
GWE2-31-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45458942204719e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Halanaerobiia,0.0026505269748513,0.00535923630882599,0.00510720308359431,0.00849069553110967,0,0,0,0,0.000242652188419424,0.00126530460347587,0.00597188842764547,0.0231059971326966,0.0369344413665743,0.030612441853732,0.0134618883027106,0.00108660219493643,0.00140544610365165,0.00123562399011501,0.00140470576431044,0,0,0,0,0,0,0.00180261378999549,0.00825744549873697,0.015306234010452,0.0140831022720472,0.00755117806102742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holophagae,0.002379213190024,0,0,0,0.00125509883903357,0.00171335957397546,0.00316062761033977,0.0017407738983388,0.00154690770117383,0.000893156190688847,0.00101959070715898,0.000875086112197211,0.000540079095454625,0.000810669960817619,0.000828734865482182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000444505755583146,0,0,0,0.000564828701088756,0.000346604431915336,0,0.000134018315836498,0,0,0,0.000293640100874011,0,0,0,0,0.0002086911852054,0,0,0,0,0.000211515863689777,0.000271992539633199,0,0.000123344485730585
Hydrogenedentia,0,0,0,0,0,0,0,0,0,0,0,0.00109851235360926,0,0,0,0.000488970987721395,0.000501945037018446,0.000285143997718848,0.000501680630110871,6.71095899604053e-05,0,0,0,0,0,0,0.00218641873102804,0,5.98432107877361e-05,9.65623792970259e-05,0.00035253904753146,0.00027971049963288,0,0.000441544424275131,7.7907407046725e-05,0,0,0.000491400491400491,0.00132414222845348,0.00101952965698491,0.000229710388210556,0.000656371990188966,0.00043369836278868,0,0.000400409307291898,0,0,0,0,0,0.000670915800067092,0.000211515863689777,0.00231193658688219,0.00136824902132188,0.000477959882206016
Iainarchaeia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97909477169815e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignavibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000242556545994785,0.000923611865695969,0.00150583511105534,0.000887114659569749,0.00130436963828827,0,0,0,0,0,0,0.000262881177707676,0.00227132819631068,0.00721579603349879,0.0197482595599529,0.0228659714175357,0.00134884505142472,0.00076920387399042,0.000765696784073507,0.000539665407447383,0,0,0,0,0.000739961833547533,0.00233359010376546,0.00641422084003322,0.0019691159705669,0.000921609020925946,0,0.000956533345197313,0,0,0,0,0,0.000143767671442948,0.000235017626321974,0.00324448243705316,0.00971076735965946,0.0206756194205893
J058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103227208518961,0.000577236792571213,0.000538605329024491,0.000451512567099784,0.00232646578529405,0.00121242377776985,0,0,0,0,0,0.000106136831603303,8.74641943454398e-05,5.98432107877361e-05,0.000115874855156431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000483854002314084,0.000305010193761739,0,0,0,0,0,0,0,0
JABDET01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141010575793184,0,0,0
JACOTG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147259913747765,0,0,0,0,0,0,0,0,0
JACPWU01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06555693505618e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000349704693814113,0.000171031127665235,9.25083642979386e-05
JADJOY01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176584849019954,0,0,0,0,0,0,0,0
JAEDAM01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79374275782155e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAHITG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30100895870514e-05,0,0,0,0,0,0,0,0,0,0,7.05052878965922e-05,9.71401927261424e-05,0.000152027669035765,3.08361214326462e-05
JAJSAM01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00298815603607519,0.00429163006650772,0.00465735196274118,0.00479105001755882,0.0160839317271771,0.0137645758299754,0.00651011392699372,0.00237032905744562,0,0,0.000413098993540634,0.000870322019147085,0.000655981457590799,0.000638327581735852,0.000405561993047509,0.000751061449088763,0,0,0,0,0,0,0,0,0,0,0,0.000406592215114388,0,0.000422654268808115,0.00824655516987483,0.00829948790393784,0.00286046737127897,0.00173798675372258,0,0,0,0.000563413117811626,0.000304055338071529,0.000508796003638662
JAJVIF01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000465008137642409,0,0,0,0,0.000148591564244624,4.37320971727199e-05,0,7.72499034376207e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000135530738371463,0,0,0,3.21063361854462e-05,0.000339377484728013,0,0,0,0,0,0,0
Kapabacteria,0,0,0,0,0,0,0,0,0,0,0,0.000763372991491184,0,0.00013511166013627,8.08521819982617e-05,0.000298815603607519,0.000501945037018446,0.000126730665652821,0.000501680630110871,4.47397266402702e-05,0,0,0,0,0.000931463869006765,0.0028541385008262,0.0015071430087669,0.000524785166072639,0.000658275318665097,0.000251062186172267,0.000505816894284269,0.0038460193699521,0.00519342166588987,0.00353235539420105,0,0,0,0.000446727719454992,0.00307668341317132,0.0060945217273098,0.00286254483770078,0.0017791135523543,0.000867396725577361,0.000308232900779829,0.00071183876851893,0,0,0,0,0,0,0.00253819036427732,0.00551756294684489,0.00195735623883547,0.0014030435251854
Kazan-3B-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98954738584908e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiritimatiellia,0,0,0,0,0,0,0,0,0,0,0,0,5.22657189149637e-05,0,0,0,0,0,0,0,0,0,0,0,0,7.51089079164789e-05,6.36820989619818e-05,0,0,0,0,0,0,0,0,0,0,0.000335045789591244,0.000292090197452974,0,0.000106020179174103,0,0.000379486067440095,0.000554819221403693,0.00115673799884326,0,0,0,0,0,0,7.05052878965922e-05,0,0,0
Koll11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108660219493643,0.000627431296273058,0.000887114659569749,0.000326092409572066,0,0,0,0,0,0.00122561035395627,0.000938861348955986,0.00159205247404954,0.00019679443727724,0,9.65623792970259e-05,0.000367866832206741,0.00013985524981644,0,0.000122651228965314,0,0,0,0.000111681929863748,0.000233672157962379,0.00126874801758122,0.00075981128408107,0.000207275365322831,0.000135530738371463,0.000123293160311932,0.000222449615162166,0,0,0,0,0,0,0.00244418331374853,0.00287534970469381,0.000874159096955646,0.000524214064354985
Krumholzibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5291755552767e-05,0,5.01680630110871e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kryptonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79686437989941e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ktedonobacteria,0.0474173014713555,0.0546251325852733,0.0550710672127198,0.0637684569680569,0.000882491371195482,0.000138921046538551,0,0.00770914154978613,0.102823864842731,0.196606006475382,0.185820406379725,0.0942672550224357,0.0418996846634959,0.0258063270860275,0.0317344814343177,0.00293382592632837,0.00253482243694315,0.00243956531381681,0.0019565544574324,0.00263964387177594,0.0050993117712085,0.00548709602418042,0,0,0.000147073242474752,0,0.00104014094971237,0.000568517263245359,0.000678223055594343,0.000424874468906914,0.028049845955764,0.00283206880878291,0.0115520340901525,0.00556836579502527,0.00185030091735972,0.00353536520553643,0.0130495240132635,0.0224480679026134,0.023873505471823,0.0123023245276179,0.00955948615553161,0.0168065775382596,0.0292475333405616,0.0250593348334001,0.0300306980468924,0.00157778479015462,0.00155715730499414,0.00126054494327548,0.00375780919723801,0.0254304144043807,0.106483921982077,0.122185663924794,0.0809954926950575,0.0242484132112044,0.0223407699779522
Lentisphaeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16465801559658e-05,0,0,0,0,0,0,0,0,0,9.50172931473528e-05,0
Leptospirae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74641943454398e-05,5.98432107877361e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62541821489693e-05
Limnochordia,0,0,0.000602264514574801,0.000666705884659882,0.000647160338876687,0,0.000395078451292471,0,0,0,0,0.000111713120706027,0,0.000193016657337528,0.000343621773492612,0,0,9.5047999239616e-05,0,0.000738205489564459,0.000427914274507007,0,0,0,0,0.000413098993540634,0,0,0,0.000173812282734647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limnocylindria,0.0141917979755818,0.00929492547312008,0.00761262346422549,0.00876522148361668,0.0829149670536555,0.0623755498958092,0.0271475335816684,0.0119367353028947,0.00600564166338075,0.00506121841390346,0.00466098608986964,0.00450576253514309,0.00378055366818237,0.00314617151460171,0.00440644391890526,0.0660925785070086,0.0977537959593425,0.0981529005481101,0.0936386896101942,0.20025501644185,0.191420318796134,0.119181585677749,0.043874326082915,0.0285659874309655,0.0171095205412295,0.0139327024185068,0.00925513171580802,0.0101021144468983,0.00736071492689154,0.0103707995365006,0.0220106987937033,0.00618859480437747,0.00562620680471403,0.00652504538095472,0.0714216154100851,0.0184855697021513,0.00499162120725924,0.0027473754746482,0.00401137204502084,0.00446327427613394,0.00443517749544997,0.0131619856979998,0.0254526726661607,0.019819375520143,0.0258931352048761,0.197896286946461,0.131716244200793,0.0569669349364879,0.0158297712433651,0.00635760360109518,0.00215651507164422,0.00202115158636898,0.00299191793596518,0.0027745049599027,0.00172682280022819
Lokiarchaeia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212318323071281,0.000990439229478706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000289687137891078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinamargulisbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52520945166307e-05,0,0,0,0,0,0,0,0.00036086522745123,4.37320971727199e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanobacteria,0,0,0,0,0,0,0,0,0,0,0,7.4475413804018e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36820989619818e-05,0.00015306234010452,0,0,0,0.0010489143736233,0.000233038151674546,0.000269832703723691,0,0,0,6.70091579182488e-05,0.000136308758811388,0.000498436721192623,0.0018906931952715,0.00072546377862991,0,0,0,0,0,0,0,0,0,0,0,0.000152027669035765,0.000277525092893816
Methanocellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013316465809974,0.000122651228965314,0,0,0,0,0.000253144837792577,0.000113281072998323,5.30100895870514e-05,3.45458942204719e-05,0,0,0,0,0,0,0,0,0,0.000141010575793184,0,0,0
Methanomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06391364986963e-05,0,0.000150583511105534,0,0,0,0,0,0,0,0,0,6.36820989619818e-05,0,0,0,0,0,0,0,0,0,0,0.000134018315836498,0.000155781438641586,0.000158593502197653,7.06801194494019e-05,0.000190002418212595,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanosarcinia,0.000876552227903579,8.37380673254061e-05,7.22717417489762e-05,0,0,0,0,0,9.09945706572841e-05,0,0.0011288325686403,0.00379824610400492,0.00275266119618809,0.000810669960817619,0.000303195682493481,0.00611213734651744,0.000376458777763835,0.000316826664132053,0.000426428535594241,8.94794532805405e-05,0,0,0,0.000253919888275249,0.00132365918227277,0.0055205047318612,0.0504999044768516,0.0346795530579669,0.00907622030280665,0.00326380842023947,4.59833540258426e-05,0.00010489143736233,0,0.000196241966344503,0,0,0,0.000111681929863748,0.000720489153717335,0.000362499433594635,0.000441750746558762,0.000397277783535427,5.42122953485851e-05,0.00021576303054588,0,0,0,0,0,0,0,9.40070505287897e-05,0.000466272925085483,0.000437079548477823,0.000339197335759108
Methylomirabilia,0,0,0,0,7.84436774395984e-05,0,0,0,0,0,0,9.30942672550224e-05,0,0,6.06391364986963e-05,0.0226013256546778,0.0160371439327394,0.0200868105059722,0.0201173932674459,0.038409055320672,0.0602645936597368,0.0570564984887236,0.0264454359546384,0.0082523963689456,0.00553975879988234,0.00446898002103049,0.0036086522745123,0.00360789801674939,0.00398954738584908,0.00407493240633449,0.0179948192087798,0.00146848012307262,0.00203076103602104,0.00215866162978953,0.0142570554895507,0.00757908357788202,0.00294149106856348,0.00136251954433773,0.00155781438641586,0.00113281072998323,0.00102486173201633,0.00376550247003144,0.0299522931800932,0.0353851370095244,0.0298972282777951,0.0487219943199748,0.110140786284173,0.0799961214001745,0.0209497862746019,0.010162884588612,0.00579862941486558,0.00533490011750881,0.00678038545228474,0.0056820341302117,0.00613638816509659
MHYJ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37320971727199e-05,0,0,7.66389233764044e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02658404636155e-05,0,0,0,0,0,0,0,0
Micrarchaeia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98734935748053e-05,4.90604915861257e-05,0,0,0.000231753841765608,0.00118382845655573,0.00264828445690696,0.00246952739136345,0.0037460463308183,0.00158911113414171,0,0,0,0,0,0,0,0,0,0,0,5.70103758884117e-05,0.000524214064354985
Microgenomatia,0,0,0,0,0,0,0,0,0,0,0,3.7237706902009e-05,5.22657189149637e-05,0,8.08521819982617e-05,0.000217320438987287,0.000376458777763835,0.000380191996958464,0.000301008378066523,0,0,0,0,0,0,0.000488207901457113,0.00558279734233374,0.00537904795224455,0.00183519179749057,0.000907686365392043,7.66389233764044e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44899230324332e-05,0,0,0,0,0,0,0,0.00112682623562325,0.00110220060050929,0.000169598667879554
Moorellia,0,0,0,0,0,0,0,0,0,0,0,0,0.000139375250439903,0.00013511166013627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSB-5A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000276069770360146,0.000760383993916928,0,0,0,0,0,0,0,0.000337990085624155,0.00205905453310408,0.00205540856711784,0.000598432107877361,0.000193124758594052,0.000797044803114606,0,0,0,0,0,0,4.46727719454992e-05,0.000136308758811388,0.000158593502197653,7.06801194494019e-05,0.000138183576881888,0,0.000400702771013778,0.000155714730613516,0,0,0,0,0,0.000575070685771793,0.00427732079905993,0.00275878147342244,0.00127323172817453,0.000400869578624401
Myxococcia,0,0,0,0,0.000411829306557891,0,0.000112879557512135,0,0,0,0,0,0,0.000115809994402517,0,0.00108660219493643,0.000878403814782281,0,0.000677268850649676,0.00268438359841621,0,0.000883515461520577,0,0,0,0,0,0,0,0.000154499806875241,0.00159408960622921,0.00031467431208699,0.000632532125973767,0.000637786390619634,0.00206454628673821,0.0012708829170229,0.000124790530181481,0.000201027473754746,0.000214199478132181,0.000135937287597988,0.000159030268761154,0.00063909904307873,0.00189743033720048,0.00129457818327528,0.00218000622858922,0.0091932260439676,0.00563466200054581,0.00266653738000582,0,0,0,0.000188014101057579,0.000349704693814113,0.000152027669035765,0
Myxococcota Phylum,0,0.000111650756433875,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14951646202325e-05,0.000276069770360146,0.000601970661850901,0.000326092409572066,0.000246068496521486,0,0,0,0,0,0,0,0,0,7.72499034376207e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029451982749553,0,0,0,0,0,0.000376028202115159,0.000116568231271371,0,0
Nanoarchaeia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000488970987721395,0.000225875266658301,0.000316826664132053,0.000376260472583154,0,0,0,0,0,0,0.000563316809373592,0.00331146914602305,0.00314871099643583,0.0040892860704953,0.00569718037852452,0.000245244554804494,0,0,0,0,0,0,0,3.89453596603965e-05,0.000113281072998323,0.000848161433392822,0.000431823677755899,0.000352379919765803,0.000462349351169744,0.000556124037905414,0,0,0,0,0,0,0.00136310223266745,0.000582841156356854,0.000608110676143058,0.000755484975099832
Negativicutes,0,0,0,0.000117653979645862,0,0,0,0,0,0,0.000400553492098172,0.000670278724236162,0.00033101621979477,0.000366731648941304,0.000282982636993916,0,0,0,0,0,0,0,0,0,0,0,0.000191046296885945,0.00015306234010452,0.000239372843150945,0,0,0,0,0,0,0,0,0,0,0,7.06801194494019e-05,0,0,0,0,0,0,0,0,0,0,9.40070505287897e-05,0.000135996269816599,0,0
Nitrososphaeria,0.0408014191797976,0.0357003293697315,0.0421826066008191,0.0386101143204502,7.84436774395984e-05,0,0,0.0071123047846414,0.0151960932997664,0.00911763611328198,0.0321899351831622,0.126291682958163,0.185752365023781,0.189021212530641,0.252723707881066,0.0437085732913181,0.105559041284979,0.113392263092862,0.110118898309336,0.000111849316600676,0,0,0,0,0.00382390430434356,0.0330103650292925,0.0717484981638328,0.144928170030394,0.277473020685803,0.362630359212051,0.091077696540519,0.235795951190518,0.238364737998535,0.22521218662611,0.0577293886216232,0.143933267093375,0.120369379969337,0.0843198570471298,0.124040970518363,0.154832570574108,0.163836516883714,0.127647079144644,0.229019841700098,0.25305921154024,0.218245317435601,0.000399705480172504,0.000497648210874416,0.00799961214001745,0.0563201653436047,0.0449208779989791,0.0291369147457708,0.0770152761457109,0.206131488964874,0.362566987191669,0.468200249772584
Nitrospinia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93208863830672e-05,8.91360929867722e-05,0,0,0.000181249716797317,0,0.000138183576881888,0,0,0,0,0,0,0,0,0,0,0,0,0
