Phylum,4.5_0,4.5_0.1,4.5_0.2,4.5_0.3,4.5_10,4.5_11,4.5_12,4.5_13,4.5_14,4.5_4,4.5_5,4.5_6,4.5_7,4.5_8,4.5_9,4.5_M11,4.5_M5,7.5_0,7.5_0.1,7.5_0.2,7.5_0.3,7.5_10,7.5_11,7.5_12,7.5_13,7.5_14,7.5_4,7.5_5,7.5_6,7.5_7,7.5_8,7.5_9,7.5_M14,7.5_M4,CM_0,CM_0.1,CM_0.2,CM_0.3,CM_10,CM_11,CM_5,CM_6,CM_7,CM_8,CM_9,CM_M11,CM_M5,LD_0,LD_0.1,LD_0.2,LD_0.3,LD_10,LD_11,LD_12,LD_13,LD_4,LD_5,LD_6,LD_7,LD_8,LD_9,LD_M13,LD_M4
Omnitrophota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,40,28,27,35,161,137,78,53,0,0,0,0,0,25,0,0,45,4,0,5,56,43,0,0,0,5,12,0,0,12,8,13,16,154,266,118,64,0,0,0,0,0,0,0,0
Patescibacteria,2012,240,237,461,4456,7610,2235,994,987,7,0,0,28,776,2048,77500293,0,168,181,124,127,384,2495,1159,447,259,14,12,0,2,4,22,16837065,0,309,286,265,423,719,708,5,0,13,46,432,56052431,0,236,398,324,430,1389,1404,570,346,0,2,0,0,7,120,31531142,0
Planctomycetota,4317,2752,3150,4016,1355,1545,987,913,975,2176,1105,1095,2722,4941,2160,0,0,4222,4510,3845,4661,1788,1803,1060,856,1234,3347,2167,1453,2430,2609,2592,0,13117522,9994,3618,3734,5258,1762,1980,3996,4490,5782,2793,2878,0,42351697,5164,3979,4327,5989,3620,3298,2327,3048,4879,5502,2095,5181,5229,2816,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21883569,395042165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50569072,0,0,0,0,0,0,0,0,0,0,0,406837384,928843434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47601506,23170987
Pseudomonadota,10007,6032,6761,7366,4139,6149,5770,4969,6489,2457,1482,3658,6586,9359,5123,0,0,6269,5630,4621,5465,2226,3794,2540,2112,2343,2216,2284,3728,5400,3748,3104,0,0,11276,3452,2797,4876,8871,10708,9930,9576,8352,6689,9652,0,0,10725,5895,4831,7068,5064,5035,3608,3678,3832,8059,5330,4966,3191,2459,0,0
Ratteibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,14,22,0,7,0,0,8,0,0,7,0,0,0,0,0,130,36,151,161,68,123,768,582,230,48,55,0,26408870,303,128,99,104,29,30,10,8,29,153,63,0,0,0,0,0
Schekmanbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,54,186,0,0,0,0,0,0,0,0
Spirochaetota,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,4,7,0,0,0,0,0,0,0,0,0,0,41,88,84,272,468,22,140,212,89,216,10898893,0,341,0,0,0,5,14,14,17,0,0,0,31,0,0,0,0
Sumerlaeota,0,0,0,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,9,0,5,17,13,9,0,2,0,0,0,0,0,10,0,0,25,0,0,0,24,13,0,0,9,15,33,0,0,25,8,6,0,0,16,4,0,0,8,0,0,4,0,0,0
Synergistota,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermoplasmatota,0,9,12,9,0,2,0,0,0,0,0,0,0,0,0,0,9657453,12,12,6,16,0,5,0,0,6,2,0,5,0,0,0,0,0,11,0,5,0,0,0,42,6,0,0,0,0,47340987,16,14,0,59,0,0,0,0,14,16,0,0,0,0,0,0
Thermoproteota,1955,1279,1751,1969,884,6783,10662,9793,12503,4,0,0,143,501,245,172488589,0,1609,4206,3579,4390,879,3394,6663,13939,18804,5,0,0,0,0,78,192877468,0,6663,7247,7557,9830,8326,12335,3012,6334,7352,5466,8861,73397964,21664762,9136,8536,8243,9847,3661,12810,25767,35106,19,31,165,1199,968,633,0,0
UBA10199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,8,31,3,3,8,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,27,20,39,0,64,36,6,0,0,0,0,0,0,0,0
UBP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0
Verrucomicrobiota,1358,52,53,110,3002,1881,865,551,618,7,0,0,22,600,2976,0,0,2407,1856,1512,1851,4059,2499,1032,837,1029,114,44,69,387,2342,4211,0,0,3859,2214,2312,2651,2210,1664,191,370,1206,2343,3646,0,28262740,2299,2376,2430,3858,4769,2438,1535,1518,114,85,0,144,1628,3638,0,0
Zixibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,0,9,97,94,30,10,0,0,0,0,0,0,0,0,52,0,0,0,7,4,0,0,0,2,7,0,0,8,0,13,7,182,142,67,26,0,0,0,0,0,12,0,0
