Order,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
Abditibacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0.000104531437829927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absconditabacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79374275782155e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetivibrionales,0.00116873630387144,0.000837380673254061,0.000843170320404722,0.00188246367433378,0,0,0,0,0,0,0.000764693030369237,0.00363067642294587,0.00966915799926828,0.0167731475226312,0.0203141107270632,0.000679126371835271,0,0.000285143997718848,0,0,0,0,0,0,0,0,0.0014010061771636,0.00393588874554479,0.0082184676148491,0.00928930088837389,0,0,0,0,0,0,0,0,0,0,0.000106020179174103,0,0,0,0,0,0,0,0,0,0,0,0,0.00110220060050929,0.00169598667879554
Acetivibrionales_A,0,0,0,0,0,0,0,0,0,0,0.00156580001456558,0.00199221731925748,0.00198609731876862,0.000405334980408809,0.00121278272997393,0,0,0,0,0,0,0,0,0,0,0,0.0014010061771636,0.00100583823497256,0.000997386846462269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetobacterales,0.0123343420640718,0.0064199184949478,0.00780534810888942,0.00845147753789439,0.00900141198619391,0.00703866635795323,0.0163110960605034,0.0203919228091117,0.00621796232824775,0.00234453500055822,0.00229407909110771,0.00312796737976875,0.00200351922507361,0.0024127082167191,0.00258726982394437,0.000244485493860698,0,0,0,0.000246068496521486,0.000285276183004671,0,0,0,0,0,0,0,0,7.72499034376207e-05,0.00683619196517527,0.00374112793258977,0,0.00176617769710052,0.0085113842198547,0.00554567091064538,0.00187185795272222,0.00102747375474648,0.000467344315924758,0.00131406044678055,0.00144894244871274,0.00347186236915743,0.00233112869998916,0.000616465801559658,0.00126796280642434,0.00506994845903019,0.00500858844492961,0.0136235818869388,0.00497909718634036,0,0,0.00138660399529965,0.00134053465962076,0.000570103758884117,0.001002173946561
Acidiferrobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000244485493860698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000475161324933707,0.00090905912380686,0.00136493774552234,0.00110386106068783,0.000175291665855131,0.000439032280426092,0.00212143901308518,0.0056287692651329,0.00391400864586984,0.00256015224976211,0.00219108370293146,0.00260821501364563,0.000162636886045755,0,0,0,0,0,0,0.00116014664253562,0,0.000493537015276146,0.000446844886540255,0.000190034586294706,0.000339197335759108
Acidimicrobiales,0.00820202441824063,0.0144029475799699,0.0153697904119489,0.0163146851775595,0.0224348917477251,0.0175966658948831,0.00773224968958122,0.0044762757385855,0.00242652188419424,0.00107923039708236,0.00131090233777584,0.00256940177623862,0.00242164497639332,0.00154413325870023,0.00145533927596871,0.0180375964359448,0.0182958965993224,0.0177106105249818,0.0199919731099182,0.0561483569335391,0.0321292301109011,0.0139967449430365,0.00901654582636178,0.0026026788548213,0,0,0.00297183128489248,0.001639953643977,0.00119686421575472,0.00125531093086134,0.00538005242102359,0.0628649347924898,0.0585258672348359,0.0610067212873473,0.0738172681767719,0.0266885412574809,0.00533033836060898,0.00330578512396694,0.00428398956264361,0.00412343105713897,0.0058134398247133,0.0172729471102359,0.00512306191044129,0.00243503991616065,0.00462695199537305,0.0380140948774587,0.0192316953750823,0.00533307476001164,0,0,0,0.000282021151586369,0.000291420578178427,0.000247044962183117,0.000138762546446908
Acidimicrobiia Class,0,0,0,0,0.00292202698462504,0,0,0,0,0,0,0,0.000174219063049879,0,0.000242556545994785,0.000787786591328915,0.000702723051825825,0.00126730665652821,0.000877941102694025,0.00181195892893094,0.00174731662090361,0.00139502441292723,0,0,0,0,0,0,0,0,0.00387792952284606,0,0,0,0,0,0,0,0,0,0,0,0.00636994470345874,0.00409949758037173,0.00420429772656493,0.0192910487009572,0.0178029634148299,0.00766023465528944,0.00248954859317018,0.000510464522715671,0,0.000587544065804935,0.000427416847995026,0.000399072631218882,0.000231270910744847
Acidobacteriota Phylum,0,0,0,0,0.00049027298399749,0,0,0,0,0,0,0,0,0,0,0.000923611865695969,0.00163132137030995,0,0.000777604976671851,0,0.000677530934636095,0.000790513833992095,0.00227737497676148,0,0,0,0.00106136831603303,0.000437320971727199,0.000239372843150945,0.000637311703360371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000904596613021984,0.001043455926027,0,0,0,0,0,0,0,0
Acidoferrales,0.0248356464572681,0.00644783118405627,0.0102384967477716,0.0065690138635606,0.000117665516159398,0,0.000225759115024269,0,0.0421304862143225,0.0611067693796286,0.0253805258174933,0.0110968366567987,0.00918134462272862,0.0058098013858596,0.00721605724334486,0.00220036944474628,0.00150583511105534,0.0017742293191395,0.00132945366979381,0.000402657539762432,0,0.00116252034410602,0.00274214538018219,0.00279311877102774,0.00132365918227277,0,0.000912776751788406,0.000327990728795399,0,0.000733874082657397,0.0619089223034595,0.0590538792349918,0.0807310739729676,0.0676789481430604,0.0163800323315739,0.0520368787115558,0.114860769422755,0.144717444717445,0.100381664524672,0.0831483075807694,0.0744084957503578,0.0869174698587073,0.0832700856554266,0.0732669605153654,0.0720959202740579,0.0012622278321237,0.00025685068948357,0.00281198487346068,0.0408192024049979,0.139124785372871,0.133560166770499,0.0615746180963572,0.0355533105377681,0.021929991258409,0.0216469572457176
