"source","name","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance","diversity_faith","asv_novelty"
"GcC6","GcC","GcC6 (65)",540,540,78.2698726898639,0.987223692007749,5.37915372628209,86.9235741198762,47,0.919412672371519,0.854978083680365,0.144944208684933,0.415004230485819,0.512252155860275,0.0792337731358458,0.118215218245257,3429,0.0792337731358458,0.0127763079922513,0.0259722254315225,0.981280987829066,2.05745125449967,0.315733530512743,0.714282413291125,80.9527536719999,0.798148148148148
"GcC7","GcC","GcC7 (60)",568,568,22.1195183761661,0.954791059054997,4.91404772760764,87.9279699575764,30,0.962945404268589,0.774827128522324,0.038942814042546,0.359349649362338,0.454334054659699,0.200930580810782,0.228188398046137,11271,0.200930580810782,0.0452089409450028,0.0118907548044354,0.984188726436869,2.05689201074711,0.284522408813777,0.637180447106642,77.0983113479998,0.809859154929577
"GcC8","GcC","GcC8 (55)",504,504,23.1858684849146,0.956870280677619,4.8184978999417,79.5642346389147,27,0.964471895153713,0.774357387094775,0.0460037073113384,0.338406213208814,0.449352489041627,0.192807683716775,0.227630109448291,8632,0.192807683716775,0.0431297193223808,0.00808577172213536,0.986306104613675,2.05815528261522,0.250055840964932,0.688519097610007,50.5997468399999,0.793650793650794
"GcC9","GcC","GcC9 (51)",610,610,58.6613015046038,0.982952986477439,5.23809482940819,97.2756227378378,38,0.956307392531557,0.816734754894527,0.0961660680403341,0.329114398588199,0.457100982887511,0.0959613662032169,0.145538809050902,4928,0.0959613662032169,0.0170470135225609,0.00732172761615454,0.982829372522914,2.05822320471478,0.296607859173579,0.784067453362932,85.9291440449998,0.8
"GcC10","GcC","GcC10 (48)",599,599,49.7790547881501,0.979911229647574,5.11985584879378,97.9984442416713,30,0.969402158097108,0.80057019877068,0.0831035973090987,0.368421746361761,0.453448715347168,0.0946350083827994,0.151524763242557,4177,0.0946350083827994,0.0200887703524264,0.00561874122071684,0.9833302319783,2.0600136579169,0.297000317187004,0.788662830214328,80.3222625149997,0.79465776293823
"GcC11","GcC","GcC11 (44)",765,765,53.0531195832674,0.981150967033513,5.28632491926448,125.060231449685,36,0.968127931940127,0.796148158725129,0.0693504831153822,0.370593260269637,0.437957171548143,0.0874136377290478,0.154612761295567,4947,0.0874136377290478,0.0188490329664873,0.00809287367695651,0.979446810265117,2.05980041334203,0.331224709769759,0.762938879366706,97.4900992499997,0.801307189542484
"GcCr1","GcC","GcCrep1",373,373,26.9091465654141,0.962837914700525,4.67886038252993,60.5541755412758,21,0.930558493942684,0.790137367261508,0.072142484089582,0.443136855139007,0.490275172723113,0.159225201916017,0.212789762595713,4554,0.159225201916017,0.0371620852994753,0.0161882451662529,0.988199014692221,2.06105067142856,0.239467151498199,0.574245655746303,44.5814634099999,0.790884718498659
"GcCr2","GcC","GcCrep2",334,334,24.7731137520324,0.959633657278227,4.51797848567903,52.6054841462477,16,0.924985038910793,0.777468399259185,0.0741709992575819,0.402063380981298,0.479373574253393,0.16162860376856,0.223250549304215,4855,0.16162860376856,0.0403663427217727,0.023603435648179,0.989937062749661,2.06082981936629,0.213496238098409,0.537519142419602,39.2604360060001,0.796407185628742
"GcCr3","GcC","GcCrep3",435,435,27.3218353656742,0.963399237766569,4.70381874182481,67.9911509452899,20,0.915702346050151,0.774247049921846,0.0628088169325844,0.397409181499392,0.466443810702467,0.152062993671197,0.214713241426679,6199,0.152062993671197,0.0366007622334314,0.0223961144090664,0.987397764132908,2.06000260568787,0.256463719766472,0.556468625815631,68.8537802799999,0.813793103448276
"GcL","GcL","GcL",1174,1174,309.705213931418,0.996771123135752,6.47464196214997,203.318945963102,170,0.909608306687925,0.916027787919494,0.263803419021651,0.486881791519478,0.601234928119419,0.0281111570944651,0.0486044052053157,1834,0.0281111570944651,0.00322887686424757,0.0158182737848899,0.948555839244762,2.06077605732662,0.627688110237427,0.850216888153155,111.418635376999,0.84923339011925
"GcL4","GcL","GcL4 (73)",768,768,135.730182725287,0.992632441952694,5.69516695583061,130.086743343573,57,0.793858253567547,0.857216616506671,0.176732008756884,0.383171823277063,0.500270342212676,0.0247186283790891,0.0482171031871253,1175,0.0247186283790891,0.00736755804730597,0.0272220469128011,0.974919741124054,2.06058212510162,0.384453560534343,0.903965499105922,155.581643054999,0.864583333333333
"GcL5","GcL","GcL5 (69)",867,867,137.110828670448,0.992706630032821,5.89432856883508,142.546612553533,78,0.846181616952486,0.871292625078144,0.158143977705245,0.428305398119802,0.528160927189466,0.051193553047694,0.082962772703193,3189,0.051193553047694,0.0072933699671785,0.0166792416483393,0.968883089495591,2.05955607903111,0.450708747371294,0.898110542115486,82.5764225329996,0.880046136101499
"GcL6","GcL","GcL6 (64)",231,231,128.331381458923,0.992207673691099,5.13276724795373,36.4316720789368,51,0.992759107468697,0.943104245385388,0.555547105882782,0.567651110365693,0.690056661284407,0.0327256860273441,0.0573547949190342,675,0.0327256860273441,0.00779232630890122,0.0369921458353534,0.987215719544068,2.05958319352896,0.0753418016096189,0.875060603122273,38.4513349520001,0.800865800865801
"GcL7","GcL","GcL7 (60)",234,234,120.419684920329,0.991695709877819,5.09808726710431,36.7761075102789,48,1,0.934516439875974,0.514614038121066,0.506551552599979,0.671159237769531,0.0303443092676969,0.0526563013762976,646,0.0303443092676969,0.00830429012218067,0.0345248719996242,0.987693639641719,2.05654454980769,0.0794776645215839,0.790502137253981,39.8438421310002,0.833333333333333
"GcL8","GcL","GcL8 (56)",236,236,131.787336411478,0.992412017518302,5.12837923939679,37.065406960616,51,0.989741354154623,0.938604887998149,0.558420916997789,0.476884541711236,0.683412667616506,0.0238990208362337,0.0446424428047705,515,0.0238990208362337,0.00758798248169848,0.0281683604807648,0.987387469676264,2.05447726664462,0.0693303633579284,0.766207248596223,29.2285653460001,0.783898305084746
"GcL9","GcL","GcL9 (52)",271,271,144.729439461861,0.993090555703675,5.23417786386719,43.9595492628407,54,0.980880137550117,0.934321107999146,0.534056972183989,0.469840849249052,0.653679653679654,0.0245363492595965,0.0414530119327167,512,0.0245363492595965,0.00690944429632452,0.0193607130876504,0.986174931512394,2.059442559082,0.101595821153017,0.809747448123832,31.4647114910001,0.793357933579336
"GcL10","GcL","GcL10 (48)",817,817,162.52643014533,0.993847154588298,5.97229669870161,143.43626282128,96,0.864579736993126,0.890637956235891,0.198930759051812,0.449342314485977,0.568232327596138,0.0427967097532315,0.0719623971797885,1821,0.0427967097532315,0.006152845411702,0.0100352526439483,0.967391613640956,2.06098954913991,0.464559341950646,0.859811985898942,78.2096873399995,0.837209302325581
"GcL11","GcL","GcL11 (44)",1037,1037,70.8742159237586,0.985890496466646,5.79451704895734,183.938299623643,79,0.901703080219027,0.834453381013156,0.0683454348348684,0.453085558648876,0.513430438020506,0.0805680758470625,0.130906123717749,4147,0.0805680758470625,0.0141095035333545,0.0078489275722723,0.965012211483355,2.06125797544232,0.492189928504818,0.815666770282872,104.439808762999,0.849566055930569
"GcL12","GcL","GcL12 (40)",909,909,26.2944883684837,0.96196921628646,5.0135489844561,156.094693261292,21,0.967360127750071,0.735950530272048,0.028926829888321,0.441086249876871,0.432479853403804,0.132606134316446,0.232792368211014,6978,0.132606134316446,0.0380307837135401,0.00530196495762229,0.976571681867426,2.06097132762483,0.39555699137243,0.766219451940253,98.0552641219995,0.84048404840484
"GcL13","GcL","GcL13 (38)",995,995,17.701696683536,0.943508240036105,4.7202725655721,166.782675435778,12,0.968837418564166,0.683825653846565,0.017790649933202,0.421739261488999,0.383933661017276,0.16961408594027,0.304537535268814,11001,0.16961408594027,0.0564917599638955,0.00622889652939453,0.978363506596651,2.06125882081765,0.355956767757751,0.7083211273686,109.110283497999,0.850251256281407
"GcLr1","GcL","GcLrep1",615,615,78.0700123590903,0.987190984479413,5.56407013075793,104.838478702412,68,0.934134793803755,0.866458645294703,0.126943109526976,0.474780947609834,0.56510614131715,0.0699880732950233,0.132630380570313,2582,0.0699880732950233,0.0128090155205869,0.0098124254580939,0.975917804786377,2.06056395195647,0.37105605551339,0.769895912392931,64.7790081149997,0.853658536585366
"GcLr2","GcL","GcLrep2",549,549,54.6376944084867,0.981697617170232,5.35971429432728,93.8757467335946,56,0.958656591886221,0.849656095893884,0.0995222120373164,0.478845695705467,0.557697036756886,0.102086736738279,0.160003698794809,3312,0.102086736738279,0.018302382829768,0.0130382517029868,0.979074121662805,2.06092843812331,0.339148660728046,0.735166291649971,62.5915362399998,0.836065573770492
"GcLr3","GcL","GcLrep3",696,696,83.3347264364365,0.988000200603493,5.67378257160887,116.879565939921,75,0.932700170135602,0.866841783257609,0.119733802351202,0.495925862435276,0.561021194167147,0.0736530675801931,0.125773012412689,3311,0.0736530675801931,0.0119997993965067,0.0110557458735596,0.972883823562285,2.0606404148836,0.410641989589358,0.772478533612137,66.5905307129995,0.846264367816092
