sample_id,sample,name,amplicon,source,soil,fraction,ri,bouyantdensity,bd_round,GC,GC_round,label
LD_1,LD_1,GcL1,0,GcL,GcL (Lower Dell),1,,,,,,Fill7
LD_4,LD_4,GcL4,1,GcL,GcL (Lower Dell),4,1.3997,1.7004292,1.7,70.61993,70.6,GcL4 (70)
LD_5,LD_5,GcL5,1,GcL,GcL (Lower Dell),5,1.3992,1.6949657,1.695,67.38648,67.4,GcL5 (67)
LD_6,LD_6,GcL6,1,GcL,GcL (Lower Dell),6,1.3985,1.6873168,1.687,62.85965,62.9,GcL6 (62)
LD_7,LD_7,GcL7,1,GcL,GcL (Lower Dell),7,1.398,1.6818533,1.682,59.6262,59.6,GcL7 (59)
LD_8,LD_8,GcL8,1,GcL,GcL (Lower Dell),8,1.3974,1.6752971,1.675,55.74606,55.7,GcL8 (55)
LD_9,LD_9,GcL9,1,GcL,GcL (Lower Dell),9,1.3968,1.6687409,1.669,51.86592,51.9,GcL9 (51)
LD_10,LD_10,GcL10,1,GcL,GcL (Lower Dell),10,1.3963,1.6632774,1.663,48.63247,48.6,GcL10 (48)
LD_11,LD_11,GcL11,1,GcL,GcL (Lower Dell),11,1.3957,1.6567212,1.657,44.75233,44.8,GcL11 (44)
LD_12,LD_12,GcL12,1,GcL,GcL (Lower Dell),12,1.3952,1.6512577,1.651,41.51888,41.5,GcL12 (41)
LD_13,LD_13,GcL13,1,GcL,GcL (Lower Dell),13,1.3948,1.6468869,1.647,38.93212,38.9,GcL13 (38)
LD_20,LD_20,GcL20,0,GcL,GcL (Lower Dell),20,,,,,,Fill8
4.5_M5,4.5_M5,GcAM5,0,GcA,GcA (Craibstone pH 4.5),5,,,,,,GcA5 MAG (64)
4.5_M11,4.5_M11,GcAM11,0,GcA,GcA (Craibstone pH 4.5),11,,,,,,GcA11 MAG (44)
7.5_M4,7.5_M4,GcBM4,0,GcB,GcB (Craibstone pH 7.5),4,,,,,,GcB4 MAG (72)
7.5_M14,7.5_M14,GcBM14,0,GcB,GcB (Craibstone pH 7.5),14,,,,,,GcB14 MAG (37)
CM_M5,CM_M5,GcCM5,0,GcC,GcC (Corsemaul),5,,,,,,GcC5 MAG (68)
CM_M11,CM_M11,GcCM11,0,GcC,GcC (Corsemaul),11,,,,,,GcC11 MAG (45)
LD_M4,LD_M4,GcLM4,0,GcL,GcL (Lower Dell),4,,,,,,GcL4 MAG (70)
LD_M13,LD_M13,GcLM13,0,GcL,GcL (Lower Dell),13,,,,,,GcL13 MAG (38)
